1000, 0.0013719180000038023, 8739
2000, 0.0030301329999957716, 19419
3000, 0.004868698000009886, 30941
4000, 0.006705175999996982, 42800
5000, 0.008617555999990145, 55205
6000, 0.010735152000009407, 67952
7000, 0.012581429000007915, 80675
8000, 0.014507983000001445, 93585
9000, 0.016795781999988435, 106949
10000, 0.018912907999990125, 120429
20000, 0.04062805099999878, 260883
30000, 0.06226695499999835, 408586
40000, 0.08604864099999077, 561727
50000, 0.10987835500000642, 717995
60000, 0.13373082100000033, 877291
70000, 0.16050772699999527, 1038993
80000, 0.18797041600001307, 1203571
90000, 0.21083464400000196, 1369553
100000, 0.2377895000000052, 1536099
200000, 0.5007137359999945, 3273361
300000, 0.7927926340000084, 5084692
400000, 1.08672542299999, 6945666
500000, 1.4261226120000003, 8837219
600000, 1.7506013219999943, 10770232
700000, 2.1014435959999958, 12723023
800000, 2.4442205180000087, 14691161
900000, 2.7778770449999968, 16677360
1000000, 3.213039287000015, 18673581
2000000, 6.6463944879999985, 39349599
3000000, 11.066525224000031, 60820586
4000000, 15.200639315999979, 82697225
5000000, 18.831145007000032, 105051759
6000000, 22.935456889999955, 127641711
7000000, 27.040385176999962, 150449056
8000000, 31.564952526999832, 173390940
9000000, 36.626226997, 196644305
10000000, 40.47732696200001, 220097796
